url,topic,text
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/aaronic-priesthood,Aaronic Priesthood,"As the Prophet Joseph Smith translated the Book of Mormon, he found mention of baptism for the remission of sins. On May 15, 1829, he and his scribe Oliver Cowdery went into the woods to inquire of the Lord concerning baptism. As they prayed, “a messenger from heaven descended in a cloud of light.” This messenger was John the Baptist, the prophet who had baptized Jesus Christ centuries earlier. John the Baptist, now a resurrected being, laid his hands on Joseph and on Oliver and conferred upon each of them the Aaronic Priesthood, which had been taken from the earth during the Great Apostasy. With this authority, Joseph and Oliver were able to baptize one another. (See Joseph Smith—History 1:68–72.)
In the Church today, worthy male members may receive the Aaronic Priesthood beginning at age 12. They receive many opportunities to participate in sacred priesthood ordinances and give service. As they worthily fulfill their duties, they act in the name of the Lord to help others receive the blessings of the gospel.
The offices of the Aaronic Priesthood are bishop, priest, teacher, and deacon. With the authorization of the presiding priesthood leader (usually the bishop or branch president), deacons pass the sacrament. They help the bishop or branch president watch over Church members by giving service and assisting with temporal matters such as gathering fast offerings. Teachers may perform all the duties of deacons, and they also receive other opportunities to serve. They prepare the sacramental bread and water and serve as home teachers. Priests may perform all the duties of deacons and teachers. With the authorization of the presiding priesthood leader, they may also bless the sacrament, baptize, and ordain others to the offices of priest, teacher, and deacon.
The Aaronic Priesthood is “an appendage to the greater, or the Melchizedek Priesthood” (D&C 107:14). It is often called the preparatory priesthood. As a priesthood holder serves in the Aaronic Priesthood, he prepares to receive the Melchizedek Priesthood, to receive the blessings of the temple, to serve a full-time mission, to be a loving husband and father, and to continue in lifelong service to the Lord."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/abortion,Abortion,"In today’s society, abortion has become a common practice, defended by deceptive arguments. If you face questions about this matter, you can be secure in following the revealed will of the Lord. Latter-day prophets have denounced abortion, referring to the Lord’s declaration, “Thou shalt not … kill, nor do anything like unto it” (D&C 59:6). Their counsel on the matter is clear: Members of The Church of Jesus Christ of Latter-day Saints must not submit to, perform, encourage, pay for, or arrange for an abortion. If you encourage an abortion in any way, you may be subject to Church discipline.
Church leaders have said that some exceptional circumstances may justify an abortion, such as when pregnancy is the result of incest or rape, when the life or health of the mother is judged by competent medical authority to be in serious jeopardy, or when the fetus is known by competent medical authority to have severe defects that will not allow the baby to survive beyond birth. But even these circumstances do not automatically justify an abortion. Those who face such circumstances should consider abortion only after consulting with their local Church leaders and receiving a confirmation through earnest prayer.
When a child is conceived out of wedlock, the best option is for the mother and father of the child to marry and work toward establishing an eternal family relationship. If a successful marriage is unlikely, they should place the child for adoption, preferably through LDS Family Services (see “Adoption,” pages 7–8)."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/abrahamic-covenant,Abrahamic Covenant,"Abraham received the gospel and was ordained a high priest (see D&C 84:14; Abraham 1:2). He later entered into celestial marriage, which is the covenant of exaltation (see D&C 131:1–4; 132:19, 29). In connection with the covenants he made, he received great promises from the Lord concerning his family. Among these promises were the following:
His posterity would be numerous (see Genesis 17:5–6; Abraham 2:9; 3:14).
His seed, or descendants, would receive the gospel and bear the priesthood (see Abraham 2:9).
Through the ministry of his seed, “all the families of the earth [would] be blessed, even with the blessings of the Gospel, which are the blessings of salvation, even of life eternal” (Abraham 2:11).
Together, all the covenants and promises that Abraham received from the Lord are called the Abrahamic covenant. It is an everlasting covenant that extends to all of Abraham’s seed (see Genesis 17:7). To be counted as Abraham’s seed, an individual must obey the laws and ordinances of the gospel. Then that person can receive all the blessings of the Abrahamic covenant, even if he or she is not a literal descendant of Abraham (see Galatians 3:26–29; 4:1–7; D&C 84:33–40).
As a member of The Church of Jesus Christ of Latter-day Saints, you are a child of the covenant (see 3 Nephi 20:25–26). You have received the everlasting gospel and inherited the same promises given to Abraham, Isaac, and Jacob. You have the right to the blessings of the priesthood and to eternal life, according to your faithfulness in receiving the ordinances of salvation and keeping the associated covenants. Nations of the earth will be blessed by your efforts and by the labors of your posterity."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/abuse,Abuse,"Abuse is the treatment of others or self in a way that causes injury or offense. It harms the mind and the spirit and often injures the body as well. It can cause confusion, doubt, mistrust, and fear. It is a violation of the laws of society and is in total opposition to the teachings of the Savior. The Lord condemns abusive behavior in any form—physical, sexual, verbal, or emotional. Abusive behavior may lead to Church discipline.
Counsel for the Abuser
If you have been abusive in any relationship, you must repent of your sin. Plead with the Lord to forgive you. Ask for forgiveness from those you have harmed. Speak with your bishop or branch president so he can help you through the repentance process and, if necessary, help you receive additional counseling or other assistance.
If feelings of anger have fueled your abusive behavior, learn to master your temper. Go to the Lord in prayer and ask Him to help you. With an eternal perspective, you will see that your anger has almost always come in response to things that are not very important.
If you have been guilty of sexual abuse, seek to discipline your mind. Remember that your thoughts have a powerful impact on your life—“as [a man] thinketh in his heart, so is he” (Proverbs 23:7). Stay away from pornography and anything else that could stimulate immoral sexual desire. Pray for the ability to “let virtue garnish thy thoughts unceasingly” (D&C 121:45).
Help for Victims of Abuse
If you are a victim of abuse, seek help immediately. Talk with your priesthood leader, normally your bishop or branch president but at times a member of the stake or district presidency. He can help you know what to do.
Be assured that you are not to blame for the harmful behavior of others. You do not need to feel guilt. If you have been a victim of rape or other sexual abuse, whether you have been abused by an acquaintance, a stranger, or even a family member, you are not guilty of sexual sin. Know that you are innocent and that your Heavenly Father loves you.
Pray for the peace that comes only through Jesus Christ and His Atonement (see John 14:27; 16:33). The Savior has experienced all your pains and afflictions, even those caused by others, and He knows how to help you (see Alma 7:11–12). Rather than seek revenge, focus on matters you can control, such as your own outlook on life. Pray for the strength to forgive those who have hurt you.
Continue to seek help from your priesthood leader so he can guide you through the process of emotional healing. Through the blessings of the gospel, you can stop the cycle of abuse and be freed from the suffering you have experienced."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/adoption,Adoption,"Children are entitled to be raised by parents who honor marital vows and who provide love and support. Adoption can be a great blessing for many children who are born without this opportunity.
When a child is conceived out of wedlock, the best option is for the mother and father of the child to marry and work toward establishing an eternal family relationship. If a successful marriage is unlikely, they should place the child for adoption, preferably through LDS Family Services. Placing the infant for adoption through LDS Family Services helps unwed parents do what is best for the child. It ensures that the child will be sealed to a mother and a father in the temple, and it enhances the prospect for the blessings of the gospel in the lives of all concerned. Adoption is an unselfish, loving decision that blesses the birth parents, the child, and the adoptive family.
If you are married and you and your spouse want to adopt a child, be sure you know all legal requirements of the countries and governmental agencies that are involved. Counsel with your priesthood leaders and, if possible, with staff members in LDS Family Services. If LDS Family Services is not available in your area, work with your priesthood leaders to locate licensed, authorized agencies that protect both the children and the adoptive parents."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/adversity,Adversity,"As part of Heavenly Father’s plan of redemption, you experience adversity during mortality. Trials, disappointments, sadness, sickness, and heartache are a difficult part of life, but they can lead to spiritual growth, refinement, and progress as you turn to the Lord.
Adversity comes from different sources. You may at times face trials as a consequence of your own pride and disobedience. These trials can be avoided through righteous living. Other trials are simply a natural part of life and may come at times when you are living righteously. For example, you may experience trials in times of sickness or uncertainty or at the deaths of loved ones. Adversity may sometimes come because of others’ poor choices and hurtful words and actions.
Responding to Adversity with Faith
Your success and happiness, both now and in the eternities, depend largely on your responses to the difficulties of life.
An account in the Book of Mormon illustrates different responses to adversity. The prophet Lehi and his family had been traveling in the wilderness for several days, using their bows and arrows to hunt for food. The family encountered difficulties when Lehi’s sons lost the use of their bows. Laman and Lemuel’s bows lost their spring, and Nephi’s broke. Hungry and tired, Laman and Lemuel began to complain against the Lord. Even Lehi began to murmur. Nephi, on the other hand, refused to be discouraged. He went to work. He recounted: “I, Nephi, did make out of wood a bow, and out of a straight stick, an arrow; wherefore, I did arm myself with a bow and an arrow, with a sling and with stones. And I said unto my father: Whither shall I go to obtain food?” Humbled because of Nephi’s words, Lehi asked the Lord where they should go for food. The Lord answered his prayers and led Nephi to a place where he could obtain food. (See 1 Nephi 16:15–31.)
When some people face adversity, they are like Laman and Lemuel. They complain and become bitter. They ask questions like “Why does this have to happen to me? Why do I have to suffer this now? What have I done to deserve this?” But these questions have the power to dominate their thoughts. Such questions can overtake their vision, absorb their energy, and deprive them of the experiences the Lord wants them to receive. Rather than responding in this way, you should follow Nephi’s example. Consider asking questions such as, “What am I to do? What am I to learn from this experience? What am I to change? Whom am I to help? How can I remember my many blessings in times of trial?”
Different kinds of adversity require different responses. For example, if you are stricken with illness, you may simply need to be patient and faithful. If you suffer because of others’ words or actions, you should work toward forgiving those who have offended you. If you are a victim of abuse, you should seek help immediately. If trials come because of your own disobedience, you should correct your behavior and humbly seek forgiveness.
Although some of your responses to adversity will vary, one response should be constant—your trust in Heavenly Father and Jesus Christ. The prophet Alma taught, “Whosoever shall put their trust in God shall be supported in their trials, and their troubles, and their afflictions, and shall be lifted up at the last day” (Alma 36:3).
Trusting in Heavenly Father and Jesus Christ
When you trust in the Father and the Son, you are confident that They love you perfectly—that They want you to be happy and that They will help you grow spiritually. You keep the commandments. You seek to know Their will, and you do what They require even when you desire something else. Your prayers for relief are accompanied by the understanding that Heavenly Father will not resolve all matters immediately—that He may allow you to wait so you can continue to learn and grow. Through it all, you find comfort in the assurance that the Savior understands your trials perfectly. As part of His infinite Atonement, He took upon Himself “the pains and the sicknesses of his people.” He took upon Himself “their infirmities, that his bowels may be filled with mercy, according to the flesh, that he may know according to the flesh how to succor his people according to their infirmities” (Alma 7:11–12). Because He has experienced your pain, He knows how to help you. If you look to Him in faith, He will strengthen you to withstand any trial you experience.
As you strive to trust the Lord during times of trial, remember the following counsel given through the Prophet Joseph Smith:
“He that is faithful in tribulation, the reward of the same is greater in the kingdom of heaven.
“Ye cannot behold with your natural eyes, for the present time, the design of your God concerning those things which shall come hereafter, and the glory which shall follow after much tribulation.
“For after much tribulation come the blessings” (D&C 58:2–4).
Finding Peace and Joy during Adversity
You can find peace and joy even when you wrestle with challenges and sadness. The Book of Mormon includes an account of a righteous people who learned this truth. Suffering in bondage under a cruel ruler, they poured out their hearts to God (see Mosiah 24:8–12). The Lord answered:
“Lift up your heads and be of good comfort, for I know of the covenant which ye have made unto me; and I will covenant with my people and deliver them out of bondage.
“And I will also ease the burdens which are put upon your shoulders, that even you cannot feel them upon your backs, even while you are in bondage; and this will I do that ye may stand as witnesses for me hereafter, and that ye may know of a surety that I, the Lord God, do visit my people in their afflictions” (Mosiah 24:13–14).
The people responded with faith, and “the burdens which were laid upon [them] were made light; yea, the Lord did strengthen them that they could bear up their burdens with ease, and they did submit cheerfully and with patience to all the will of the Lord” (Mosiah 24:15).
Like these righteous people, you can “submit cheerfully and with patience to all the will of the Lord,” knowing that He will strengthen you in your trials. He has promised, “All things wherewith you have been afflicted shall work together for your good, and to my name’s glory” (D&C 98:3)."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/agency,Agency,"Your Heavenly Father has given you agency, the ability to choose and to act for yourself. Agency is essential in the plan of salvation. Without it, you would not be able to learn or progress or follow the Savior. With it, you are “free to choose liberty and eternal life, through the great Mediator of all men, or to choose captivity and death, according to the captivity and power of the devil” (2 Nephi 2:27).
You had the power to choose even before you were born. In the premortal Council in Heaven, Heavenly Father presented His plan, which included the principle of agency. Lucifer rebelled and “sought to destroy the agency of man” (Moses 4:3). As a result, Lucifer and all those who followed him were denied the privilege of receiving a mortal body. Your presence on the earth confirms that you exercised your agency to follow Heavenly Father’s plan.
In mortality, you continue to have agency. Your use of this gift determines your happiness or misery in this life and in the life to come. You are free to choose and act, but you are not free to choose the consequences of your actions. The consequences may not be immediate, but they will always follow. Choices of good and righteousness lead to happiness, peace, and eternal life, while choices of sin and evil eventually lead to heartache and misery.
You are responsible for the decisions you make. You should not blame your circumstances, your family, or your friends if you choose to disobey God’s commandments. You are a child of God with great strength. You have the ability to choose righteousness and happiness, regardless of your circumstances.
You are also responsible for developing the abilities and talents Heavenly Father has given you. You are accountable to Him for what you do with your abilities and how you use your time. Do not idle away your time. Be willing to work hard. Choose to do many good things of your own free will."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/apostasy,Apostasy,"When individuals or groups of people turn away from the principles of the gospel, they are in a state of apostasy.
Periods of general apostasy have occurred throughout the history of the world. After times of righteousness, people have often turned to wickedness. One example is the Great Apostasy, which occurred after the Savior established His Church. After the deaths of the Savior and His Apostles, men corrupted the principles of the gospel and made unauthorized changes in Church organization and priesthood ordinances. Because of this widespread wickedness, the Lord withdrew the authority of the priesthood from the earth.
During the Great Apostasy, people were without divine direction from living prophets. Many churches were established, but they did not have priesthood power to lead people to the true knowledge of God the Father and Jesus Christ. Parts of the holy scriptures were corrupted or lost, and no one had the authority to confer the gift of the Holy Ghost or perform other priesthood ordinances. This apostasy lasted until Heavenly Father and His Beloved Son appeared to Joseph Smith in 1820 and initiated the restoration of the fulness of the gospel.
We now live in a time when the gospel of Jesus Christ has been restored. But unlike the Church in times past, The Church of Jesus Christ of Latter-day Saints will not be overcome by general apostasy. The scriptures teach that the Church will never again be destroyed (see D&C 138:44; see also Daniel 2:44).
Although there will not be another general apostasy from the truth, we must each guard against personal apostasy. You can safeguard yourself against personal apostasy by keeping your covenants, obeying the commandments, following Church leaders, partaking of the sacrament, and constantly strengthening your testimony through daily scripture study, prayer, and service."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/articles-of-faith,Articles of Faith,"The Articles of Faith outline 13 basic points of belief among members of The Church of Jesus Christ of Latter-day Saints. The Prophet Joseph Smith first wrote them in a letter to John Wentworth, a newspaper editor, in response to Mr. Wentworth’s request to know what members of the Church believed. They were subsequently published in Church periodicals. They are now regarded as scripture and included in the Pearl of Great Price."
https://www.churchofjesuschrist.org/study/manual/true-to-the-faith/atonement-of-jesus-christ,Atonement of Jesus Christ,"The word atone means to reconcile, or to restore to harmony. Through the Atonement of Jesus Christ, we can be reconciled to our Heavenly Father (see Romans 5:10–11; 2 Nephi 25:23; Jacob 4:11). We can ultimately dwell in His presence forever, having been “made perfect through Jesus” (see D&C 76:62, 69).
Jesus Christ “was prepared from the foundation of the world to redeem [His] people” (Ether 3:14). In the premortal spirit world, Heavenly Father presented the eternal plan of salvation, which required an infinite and eternal Atonement. The premortal Jesus, then known as Jehovah, humbly declared that He would do the will of the Father in fulfilling the plan (see Moses 4:2). Thus He was foreordained to carry out the Atonement—to come to the earth, suffer the penalty for our sins, die on the cross, and be resurrected. He became “the Lamb slain from the foundation of the world” (Revelation 13:8; see also 1 Peter 1:19–20; Moses 7:47).
The Atonement is the supreme expression of our Heavenly Father’s love for us (see John 3:16). It is also the greatest expression of the Savior’s love for the Father and for us (see John 14:28–31; 15:9–13; 1 John 3:16; D&C 34:3; 138:1–4).
Our Need for the Atonement
As descendants of Adam and Eve, all people inherit the effects of the Fall. We all experience spiritual death, being separated from the presence of God, and we are all subject to temporal death, which is the death of the physical body (see Alma 42:6–9; D&C 29:41–42).
In our fallen state, we are subject to opposition and temptation. When we give in to temptation, we distance ourselves from God and come short of His glory (see Romans 3:23).
Eternal justice demands that the effects of the Fall remain and that we be punished for our own wrongdoings. Without the Atonement, spiritual and temporal death would place an impassable barrier between us and God. Because we cannot save ourselves from the Fall or from our own sins, we would be forever separated from our Heavenly Father, for “no unclean thing can dwell … in his presence” (Moses 6:57).
The only way for us to be saved is for someone else to rescue us. We need someone who can satisfy the demands of justice—standing in our place to assume the burden of the Fall and to pay the price for our sins. Jesus Christ has always been the only one capable of making such a sacrifice.
Jesus Christ, Our Only Hope
From before the Creation of the earth, the Savior has been our only hope for “peace in this world, and eternal life in the world to come” (D&C 59:23).
Only He had the power to lay down His life and take it up again. From His mortal mother, Mary, He inherited the ability to die. From His immortal Father, He inherited the power to overcome death. He declared, “As the Father hath life in himself; so hath he given to the Son to have life in himself” (John 5:26).
Only He could redeem us from our sins. God the Father gave Him this power (see Helaman 5:11). The Savior was able to receive this power and carry out the Atonement because He kept Himself free from sin: “He suffered temptations but gave no heed unto them” (D&C 20:22). Having lived a perfect, sinless life, He was free from the demands of justice. Because He had the power of redemption and because He had no debt to justice, he could pay the debt for those who repent. He can say:
“Father, behold the sufferings and death of him who did no sin, in whom thou wast well pleased; behold the blood of thy Son which was shed, the blood of him whom thou gavest that thyself might be glorified;
“Wherefore, Father, spare these my brethren that believe on my name, that they may come unto me and have everlasting life” (D&C 45:4–5).
Truly, “there shall be no other name given nor any other way nor means whereby salvation can come unto the children of men, only in and through the name of Christ, the Lord Omnipotent” (Mosiah 3:17).
The Atoning Sacrifice
Jesus’s atoning sacrifice took place in the Garden of Gethsemane and on the cross at Calvary. In Gethsemane He submitted to the will of the Father and began to take upon Himself the sins of all people. He has revealed some of what He experienced as He paid the price for our sins:
“I, God, have suffered these things for all, that they might not suffer if they would repent;
“But if they would not repent they must suffer even as I;
“Which suffering caused myself, even God, the greatest of all, to tremble because of pain, and to bleed at every pore, and to suffer both body and spirit—and would that I might not drink the bitter cup, and shrink—
“Nevertheless, glory be to the Father, and I partook and finished my preparations unto the children of men” (D&C 19:16–19; see also Luke 22:44; Mosiah 3:7).
The Savior continued to suffer for our sins when He allowed Himself to be crucified—“lifted up upon the cross and slain for the sins of the world” (1 Nephi 11:33).
On the cross, He allowed Himself to die. His body was then laid in a tomb until He was resurrected and became “the firstfruits of them that slept” (1 Corinthians 15:20). Through His death and Resurrection, He overcame physical death for us all. He later said:
“I came into the world to do the will of my Father, because my Father sent me.
“And my Father sent me that I might be lifted up upon the cross; and after that I had been lifted up upon the cross, that I might draw all men unto me, that as I have been lifted up by men even so should men be lifted up by the Father, to stand before me, to be judged of their works, whether they be good or whether they be evil—
“And for this cause have I been lifted up; therefore, according to the power of the Father I will draw all men unto me, that they may be judged according to their works.
“And it shall come to pass, that whoso repenteth and is baptized in my name shall be filled; and if he endureth to the end, behold, him will I hold guiltless before my Father at that day when I shall stand to judge the world” (3 Nephi 27:13–16).
Universal Redemption from the Fall
Through the Atonement, Jesus Christ redeems all people from the effects of the Fall. All people who have ever lived on the earth and who ever will live on the earth will be resurrected and brought back into the presence of God to be judged (see 2 Nephi 2:5–10; Helaman 14:15–17). Through the Savior’s gift of mercy and redeeming grace, we will all receive the gift of immortality and live forever in glorified, resurrected bodies.
Salvation from Our Sins
Although we are redeemed unconditionally from the universal effects of the Fall, we are accountable for our own sins. But we can be forgiven and cleansed from the stain of sin if we “apply the atoning blood of Christ” (Mosiah 4:2). We must exercise faith in Jesus Christ, repent, be baptized for the remission of sins, and receive the gift of the Holy Ghost. Alma counseled:
“Ye must repent, and be born again; for the Spirit saith if ye are not born again ye cannot inherit the kingdom of heaven; therefore come and be baptized unto repentance, that ye may be washed from your sins, that ye may have faith on the Lamb of God, who taketh away the sins of the world, who is mighty to save and to cleanse from all unrighteousness” (Alma 7:14).
The Gift of Eternal Life
The Savior has declared that eternal life is “the greatest of all the gifts of God” (D&C 14:7). To gain eternal life is to be made worthy to dwell in God’s presence, inheriting a place in the highest degree of the celestial kingdom. This gift is available only through the Atonement of Jesus Christ. Mormon said: “What is it that ye shall hope for? Behold I say unto you that ye shall have hope through the atonement of Christ and the power of his resurrection, to be raised unto life eternal, and this because of your faith in him according to the promise” (Moroni 7:41).
To receive this gift, we must meet certain conditions. We must exercise faith in Jesus Christ, repent of our sins, and endure faithfully to the end. We must receive the ordinances of salvation: baptism, the gift of the Holy Ghost, Melchizedek Priesthood ordination (for men), and the temple endowment and marriage sealing. By receiving these ordinances and keeping the associated covenants, we come unto Christ and ultimately receive the gift of eternal life (see Articles of Faith 1:3).
In His infinite justice and mercy, the Lord also gives eternal life to “all who have died without a knowledge of this gospel, who would have received it if they had been permitted to tarry” and to “all children who die before they arrive at the years of accountability” (D&C 137:7, 10).
The Savior invites us all to receive eternal life: “He sendeth an invitation unto all men, for the arms of mercy are extended towards them, and he saith: Repent, and I will receive you. Yea, he saith: Come unto me and ye shall partake of the fruit of the tree of life; yea, ye shall eat and drink of the bread and the waters of life freely” (Alma 5:33–34).
Finding Peace and Healing through the Atonement
The blessings of the Savior’s Atonement extend throughout eternity, but they also come in this life. As you come unto Christ, you will know the joy of being clean before the Lord. You will be able to echo the words of Alma, who, after much sin and rebellion, experienced the painful but healing process of repentance. After he had been forgiven, he testified:
“I could remember my pains no more; yea, I was harrowed up by the memory of my sins no more.
“And oh, what joy, and what marvelous light I did behold; yea, my soul was filled with joy as exceeding as was my pain!
“… There could be nothing so exquisite and so bitter as were my pains. … On the other hand, there can be nothing so exquisite and sweet as was my joy” (Alma 36:19–21).
In addition to offering redemption from the pain of sin, the Savior offers peace in times of trial. As part of His Atonement, Jesus took upon Himself the pains, sicknesses, and infirmities of all people (see Alma 7:11–12). He understands your suffering because He has experienced it. With this perfect understanding, He knows how to help you. You can cast “all your care upon him; for he careth for you” (1 Peter 5:7).
Through your faith and righteousness and through His atoning sacrifice, all the inequities, injuries, and pains of this life can be fully compensated for and made right. Blessings denied in this life will be given in the eternities. And although He may not relieve all your suffering now, He will bless you with comfort and understanding and with strength to “bear up [your] burdens with ease” (Mosiah 24:15).
“Come unto me, all ye that labour and are heavy laden,” the Savior said, “and I will give you rest” (Matthew 11:28). On another occasion He again promised His peace, saying, “In the world ye shall have tribulation: but be of good cheer; I have overcome the world” (John 16:33). These are the promises of the Atonement, in this life and throughout eternity."
